:kusa_akarisou@.:,30177
:petthex@.:,21932
:uwa_xtu@.:,11947
:interrobang_tubomi_akari@.:,11699
:honshitsu_jouhou@.:,9106
:aa_kusa_taiyou_pokapokadekusa@.:,8949
:hai@.:,7950
:soreha_hountouni_sou@.:,7048
:wakari_yukari@.:,6799
:taiho@.:,6689
:kandou_sita@.:,6092
:kawaiii@.:,6069
:scp_504@.:,5726
:igyo@.:,4486
:questionmark_scroll_left@.:,4467
:yattare@.:,4460
:porno_poron@.:,4374
:vohai@.:,4174
:sonokanouseiwaaru@.:,4130
:ohayoo_akane@.:,3995
:sorehasou_rostn@.:,3979
:kawaiine@.:,3757
:panic_kotone@.:,3738
:mottokatatte@.:,3703
:yattaa@.:,3612
:tiken@.:,3591
:understand_100@.:,3557
:a_toutoi_shinu@.:,3298
:tsuyoi@.:,3280
:onuaaaa@.:,3051
:igyo_akane@.:,2983
:mogumogu_akari_moe@.:,2842
:kawaiifes@.:,2839
:igyo_ultimate@.:,2813
:naruhodo@.:,2792
:kowaihanashi@.:,2709
:sorena_yuru@.:,2580
:ee_fee@.:,2570
:oyasumi_aoi@.:,2534
:5000t_hosii@.:,2480
:wakarimiga_fukasugiru@.:,2424
:iihanashi_move@.:,2386
:wakatta_one@.:,2192
:tasikani_akane@.:,2185
:koresuki@.:,2171
:kono_kasi_watasi_no_kotoda@.:,2158
:akane_fes@.:,2153
:yoigainen_wide@.:,2139
:aru_aru@.:,2115
:watakushidattesoudesuwa@.:,2107
:pat_light_dot@.:,2065
:ohayou_asagohan@.:,2034
:akari_harapeko@.:,2001
:ohayo_akari@.:,1990
:saikyou@.:,1964
:sounano@.:,1944
:kawaiiii@.:,1938
:igyo_wide_yuru@.:,1906
:wakaru_wakaru_nandemoiukotowokiitekureruakanetyan@.:,1821
:iine@.:,1810
:akari_exv_mogumogumogu@.:,1798
:akari_aa@.:,1774
:eeyan_akane@.:,1741
❤,1686
:omae@.:,1675
:kanasiihanasi@.:,1651
:tanoshisou@.:,1628
:yukari_yay@.:,1626
:akari_exv_sugoi@.:,1621
:inochinokiken@.:,1615
:wakarimi@.:,1582
:supertada_hyper@.:,1557
:kitaaaaaa_kiritan@.:,1535
:kowaiwa@.:,1525
:n_question@.:,1511
:ya_a@.:,1502
:kitai_wide@.:,1498
:hazukasii_yukari@.:,1457
:yukaaaaa@.:,1429
:iihanashi@.:,1382
:sonnakotonai@.:,1370
:iie@.:,1356
:muzukashiihanashi@.:,1345
:ohayou_hayo_helloplanet@.:,1340
:faa_kiritan@.:,1326
:nyaruhodo_itako@.:,1320
:joubutusiroyo@.:,1295
:otsu_tsumugi@.:,1268
🤔,1250
:nante@.:,1246
:kawaiiii3@.:,1246
:_ne@.:,1245
:omae_igyo@.:,1236
:owattawa_yuki@.:,1231
:umasou_akari@.:,1188
:umaaaai_akari@.:,1180
:ojiichan@.:,1169
:kusodeka@.:,1168
:suyaa_akane@.:,1164
:kekkon_siro@.:,1161
:zikuu_no_yugami@.:,1125
:hiltu@.:,1118
:okaeri_akane@.:,1113
:voskey_icon@.:,1109
:tokuniomae@.:,1106
:interrobang_akari_moe@.:,1095
:question_akane@.:,1086
:naita_kotone@.:,1064
:wakatta@.:,1064
:muri_aru@.:,1061
:dare@.:,1052
:soudane@.:,1045
:sounanda@.:,1044
:kowai_aoi@.:,1028
:kakkoii@.:,1024
:aoi_excite@.:,1023
:kawaiikawaiikawaii@.:,1014
:tabunsou_bubuntekinisou@.:,1010
:aliexpress_mistranslation@.:,1005
:sorehadoukana@.:,1002
:yadaaa_akarimoe@.:,985
:karaageaaaaaa@.:,982
:ohayo_rikka@.:,978
:kawaiiii2@.:,975
